Month,Date,TencReturns,HSReturns
1,01/05/2020,0.214912281,0.063833836
2,01/06/2020,0.070998797,0.006884139
3,01/07/2020,-0.006554307,0.02365086
4,01/08/2020,-0.035815269,-0.068236745
5,01/09/2020,0.15542522,0.027638337
6,01/10/2020,-0.047377327,0.092671481
7,01/11/2020,0.005328597,0.03377336
8,01/12/2020,0.204063604,0.038653557
9,01/01/2021,-0.027879677,0.024625481
10,01/02/2021,-0.079245283,-0.020768011
11,01/03/2021,0.021311475,0.012211114
12,01/04/2021,-0.006420546,0.014862374
13,01/05/2021,-0.056542811,-0.011109144
14,01/06/2021,-0.179794521,-0.099449319
15,01/07/2021,0.004592902,-0.003160085
16,01/08/2021,-0.041147132,-0.050363232
17,01/09/2021,0.04247941,0.032617648
18,01/10/2021,-0.044906445,-0.074948278
19,01/11/2021,-0.005659556,-0.003305175
20,01/12/2021,0.031523643,0.017291886
21,01/01/2022,-0.106112054,-0.045762052
22,01/02/2022,-0.111585945,-0.031531251
23,01/03/2022,0.008551577,-0.041254043
24,01/04/2022,-0.104398516,-0.046340411
